colClues,difficulty,number,rowClues,sizeCol,sizeRow,solution,title
"0 ,0 ,0 ,12,26,4,2,2,22,1,0 ,0 ,0 ,23,4,0 ,0 ,2,1,7,0 ,0 ,0 ,0 ,14",10-Mar,14471,"0 ,0 ,0 ,0 ,1,0 ,0 ,1,0 ,0 ,1,0 ,0 ,0 ,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0 ,0 ,2,4,4,3,1,3,3,1,3,3,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1",5,40,http://static.nonograms.org/files/nonograms/large/nozh3_12_1_1p.png,Knife
"0 ,2,2,1,0 ,4,1,1,1,1",10-Feb,16326,"4,2,3,3,1",5,5,http://static.nonograms.org/files/nonograms/large/verblyud17_12_1_1p.png,Camel
"1,1,0 ,3,0 ,5,0 ,4,0 ,5",10-Feb,16323,"0 ,0 ,0 ,0 ,3,3,3,5,4,1",5,5,http://static.nonograms.org/files/nonograms/large/koshka46_12_1_1p.png,Cat
"0 ,0 ,3,1,1,1,0 ,1,3,0 ,1,1,0 ,0 ,3",10-Feb,14698,"0 ,0 ,0 ,1,0 ,0 ,1,3,1,0 ,3,1,1,1,3",5,5,http://static.nonograms.org/files/nonograms/large/chasi6_12_1_1p.png,Watch
"0 ,2,1,1,0 ,3,1,1,0 ,3",10-Feb,6705,"0 ,2,1,0 ,0 ,3,1,3,1,1",5,5,http://static.nonograms.org/files/nonograms/large/bombochka_12_1_1p.png,Bomb
"2,2,4,4,4",10-Feb,6557,"0 ,1,1,0 ,2,1,3,3,4,1",5,5,http://static.nonograms.org/files/nonograms/large/krolik6_12_1_1p.png,Rabbit
"0 ,2,2,1,0 ,4,0 ,2,1,1",10-Feb,6555,"2,0 ,1,1,0 ,1,4,2,1,1",5,5,http://static.nonograms.org/files/nonograms/large/kolyaska3_12_1_1p.png,Baby carriage
"0 ,1,1,1,1,1,0 ,0 ,1,0 ,0 ,5,0 ,0 ,3",10-Feb,6556,"1,1,0 ,1,1,1,2,4,2,1",5,5,http://static.nonograms.org/files/nonograms/large/fontan2_12_1_1p.png,Fountain
"0 ,5,0 ,3,0 ,1,1,1,0 ,5",10-Feb,8753,"1,2,3,2,1,1,2,1,2,1",5,5,http://static.nonograms.org/files/nonograms/large/pesochnie_chasi3_12_1_1p.png,Hourglass
"0 ,2,1,2,0 ,4,1,1,1,1",10-Feb,6542,"2,3,1,5,2",5,5,http://static.nonograms.org/files/nonograms/large/sobaka10_12_1_1p.png,Dog
"0 ,8,0 ,10,1,8,0 ,8,0 ,4",10-Feb,21,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,1,4,4,5,5,5,5,4,3",5,10,http://static.nonograms.org/files/nonograms/large/cup_12_1_1p.png,Cup
"0 ,1,2,2,0 ,3,0 ,3,0 ,1",10-Feb,6538,"1,4,3,3,1",5,5,http://static.nonograms.org/files/nonograms/large/kurica7_12_1_1p.png,Chicken
"0 ,1,3,1,0 ,4,1,1,1,1",10-Feb,6551,"4,3,4,1,1",5,5,http://static.nonograms.org/files/nonograms/large/verblyud7_12_1_1p.png,Camel
