gen,nevals,avg,max,median,min,most_common,num_max,num_min,size,std
0,100,5568.53,8124.26,5429.7,4267.45,5525.27,1,1,100,820.448
1,75,4970,6721.58,4958.34,4267.45,5131.37,1,1,100,426.59
2,67,4663.52,5525.27,4519.38,4267.45,4906.06,1,1,100,261.096
3,81,4541.96,5677.38,4519.38,3988.62,4809.87,1,1,100,225.7
4,63,4541.23,7095.45,4519.38,3875.22,3875.22,1,1,100,396.674
5,68,4487.88,7544.68,4367.74,3875.22,4368,1,2,100,452.212
6,75,4419.56,7544.68,4317.79,3875.22,5436.93,1,4,100,442.381
7,75,4391.33,7078.79,4260.76,3701.38,4040.28,1,1,100,492.005
8,74,4232.92,6291.8,4215.62,3701.38,4521.21,1,2,100,384.273
9,66,4126.61,6956.43,3883.59,3701.38,4809.73,1,5,100,491.29
10,70,3940.87,5856.34,3875.22,3293.16,3877.23,1,1,100,354.481
11,71,3788.5,4574.5,3875.22,3253.13,3701.77,1,1,100,191.749
12,75,3722.53,5710.87,3701.38,3253.13,4040.2,1,1,100,391.543
13,71,3635.65,5416.19,3701.38,3253.13,3878.26,2,2,100,456.532
14,75,3578.74,5820.48,3293.16,3253.13,3253.56,1,6,100,536.423
15,75,3444.19,5521.66,3293.16,3253.13,5521.66,1,5,100,411.563
16,62,3485.21,6289.97,3293.16,3253.13,3254.03,1,3,100,566.948
17,71,3480.68,6059.22,3292.4,3253.13,3639.5,1,7,100,547.836
18,79,3417.75,5416.19,3288.22,3244.06,3987.22,1,1,100,370.908
19,77,3454.7,6951.83,3253.58,3253.13,3931.37,1,30,100,586.984
20,68,3417.18,6092.12,3253.13,3253.13,3366.97,1,53,100,461.905
21,68,3457.29,6092.12,3253.13,3253.13,3883.59,1,62,100,503.92
22,69,3375.02,4646.4,3253.13,3253.13,3931.19,1,68,100,263.142
23,67,3443.08,5415.97,3253.13,3253.13,4558.78,1,72,100,419.648
24,79,3442.59,5415.99,3253.13,3253.13,4141.96,1,70,100,411.662
25,71,3386.15,5415.99,3253.13,3253.13,3302.09,1,77,100,361.16
26,75,3412.54,5415.97,3253.13,3253.13,3537.5,1,71,100,381.66
27,74,3439.34,6094.65,3253.13,3253.13,4577.61,1,75,100,481.659
28,82,3451.94,5429.54,3253.13,3253.13,3898.13,1,65,100,406.251
29,74,3338.55,5120.06,3253.13,3253.08,3655.7,1,1,100,276.645
30,81,3430.68,5110.01,3253.13,3253.08,3254.03,1,2,100,344.496
31,70,3380.93,5497.06,3253.13,3253.08,5497.06,1,5,100,338.116
32,73,3396.12,5427.23,3253.13,3253.08,3671.71,1,14,100,371.521
33,82,3452.67,6355.34,3253.13,3253.08,3270.79,1,26,100,495.884
34,72,3465.79,5737.2,3253.13,3253.08,3297.82,1,39,100,479.065
35,84,3468.86,5415.97,3253.11,3253.08,3670.54,1,50,100,483.072
36,69,3412.78,7316.2,3253.08,3253.08,3907.18,1,65,100,499.639
37,78,3485.06,5413.01,3253.08,3253.08,5169.68,1,59,100,401.849
38,77,3461.29,5572.52,3253.08,3253.08,4851.55,1,66,100,447.449
39,68,3398.23,5388.19,3253.08,3242.25,3296.87,1,1,100,365.013
40,81,3363.78,5539.21,3253.08,3242.25,3894.16,1,1,100,319.345
41,70,3373.7,5197.32,3253.08,3242.25,4003.08,1,2,100,325.345
42,70,3369.19,5169.68,3253.08,3242.25,4002.91,1,1,100,287.805
43,74,3423.81,7316.2,3253.08,3242.25,3254.03,1,1,100,556.095
44,71,3409.55,4793.75,3253.08,3242.25,3670.5,1,4,100,320.24
45,72,3379.42,5415.97,3253.08,3242.25,3695.93,1,14,100,320.402
46,74,3425.52,8062.06,3251.09,3237.91,3908.25,1,1,100,555.394
47,68,3431.24,5727,3244.91,3237.91,4797.09,1,3,100,465.98
48,82,3450.71,5727,3245.04,3234.88,4013.64,1,1,100,425.69
49,59,3339.23,3949.69,3242.25,3234.88,3242.83,1,3,100,225.268
50,69,3392.16,5298.81,3242.25,3234.06,3879.01,1,2,100,358.232
51,76,3396.62,5740.5,3239.59,3233.07,3293.37,1,1,100,412.406
52,70,3371.24,5169.68,3238.4,3233.07,3899.88,1,2,100,316.219
53,76,3459.32,5675.57,3237.91,3233.07,4986.43,1,2,100,444.375
54,70,3374.46,6982.44,3234.88,3230.32,3894.78,1,1,100,430.582
55,70,3432.55,5781.15,3234.88,3230.32,3891.04,1,2,100,448.493
56,64,3360.82,4051.02,3234.06,3230.32,3560.61,1,2,100,246.561
57,65,3319.31,5681.51,3233.51,3230.32,3239.93,1,4,100,338.368
58,77,3369.36,4675.64,3233.07,3230.18,3935.78,1,1,100,311.844
59,66,3376.34,5144.71,3233.07,3226.86,3254.38,1,1,100,348.624
60,70,3368.77,5296.33,3233.07,3226.86,3891.93,1,1,100,324
61,65,3329.52,5438.76,3230.32,3226.86,3254.13,1,6,100,304.501
62,80,3357.31,5151.27,3230.32,3226.79,3230.18,1,1,100,302.846
63,72,3390.07,5779.8,3230.18,3226.79,3668.13,1,1,100,427.498
64,69,3366.6,5141.24,3230.18,3226.79,3253.09,1,2,100,357.157
65,68,3399.62,5142.72,3230.18,3226.79,3253.09,1,5,100,392.327
66,73,3410.14,5296.19,3226.88,3226.79,3226.89,1,1,100,434.267
67,76,3352.58,4506.82,3226.86,3226.79,4357.56,1,1,100,294.515
68,68,3417.68,6009.46,3226.81,3226.79,3246.28,1,3,100,521.418
69,80,3405.05,5182.97,3226.79,3226.71,4997.52,1,1,100,407.943
70,69,3349.43,5115.4,3226.79,3226.79,4359.31,1,16,100,325.003
71,77,3366.14,5565.21,3226.79,3226.79,4973.71,1,26,100,441.891
72,65,3384.17,5865.66,3226.79,3226.79,3247.48,1,45,100,435.85
73,72,3340.99,5286.42,3226.79,3226.79,4064.43,1,57,100,331.68
