INFO:root:

*******STARTING!!!******


INFO:root:

*******Configuration******


INFO:root:# NUM_ROWS = 20


INFO:root:NUM_ROWS = 5


INFO:root:# NUM_COLS = 20


INFO:root:NUM_COLS = 5


INFO:root:empty_in_split = '\xa0'


INFO:root:pickle_unsolved_file_path = 'data/%dx%d_nonograms.pkl' % (NUM_ROWS, NUM_COLS)


INFO:root:pickle_solved_file_path = 'data/%dx%d_nonograms_solved.pkl' % (NUM_ROWS, NUM_COLS)


INFO:root:pickle_row_options_path = 'data/%dx%d_row_options.pkl' % (NUM_ROWS, NUM_ROWS)


INFO:root:convert_to_sat = True


INFO:root:should_run_in_parallel = True


INFO:root:print_individual_fitness = False


INFO:root:


INFO:root:NUM_COND_TREES = 5


INFO:root:NUM_VAL_TREES = NUM_COND_TREES + 1


INFO:root:prob_crossover_global = 0.8  # global probability for cx


INFO:root:prob_crossover_individual_cond = 0.7  # probability to cx a specific cond tree in an individual


INFO:root:prob_crossover_individual_val = 0.7  # probability to cx a specific cond tree in an individual


INFO:root:prob_mutate_global = 0.2


INFO:root:prob_mutate_individual_cond = 1


INFO:root:prob_mutate_individual_val = 1


INFO:root:


INFO:root:points_correct_box = 5


INFO:root:points_incorrect_box = 0


INFO:root:# points_incorrect_box = -2


INFO:root:pop_size = 40


INFO:root:hof_size = 1


INFO:root:# num_gen = 40


INFO:root:num_gen = 100


INFO:root:train_size = 3


INFO:root:

*******DONE!!!******


INFO:root:run time: 692 sec

INFO:root:max possible fitness for the nonograms ran: %d

INFO:root:log:    	      	                                            fitness                                             
   	      	------------------------------------------------------------------------------------------------
gen	nevals	avg |  	max | 	min |  	most common |        	num max |	num min |	size |	std |   
0  	40    	2.7302 	2.7302	2.7302 	(2.7302,)            	40       	40       	40    	0       
1  	38    	2.43533	3.1612	1.63663	(2.5500333333333334,)	2        	1        	40    	0.386466
2  	29    	2.55025	3.1612	1.63663	(2.624166666666667,) 	3        	2        	40    	0.406301
3  	36    	2.54167	3.1612	1.63663	(2.812566666666667,) 	5        	3        	40    	0.4962  
4  	37    	2.8233 	3.1612	1.63663	(2.5015,)            	11       	2        	40    	0.359449
5  	37    	2.87631	3.1612	2.09333	(2.6930666666666667,)	9        	1        	40    	0.240873
6  	34    	2.9179 	3.1612	2.15007	(2.4365,)            	11       	1        	40    	0.215567
7  	37    	2.90021	3.1612	2.62417	(2.6512999999999995,)	7        	1        	40    	0.150951
8  	35    	2.86272	3.1612	1.76733	(2.8443,)            	10       	1        	40    	0.273777
9  	32    	2.96143	3.1612	2.22493	(2.224933333333333,) 	16       	1        	40    	0.201184
10 	38    	2.90123	3.1612	2.16317	(2.1631666666666667,)	11       	2        	40    	0.230215
11 	36    	2.82571	3.1612	1.76733	(1.7673333333333332,)	7        	1        	40    	0.279461
12 	31    	2.87382	3.1612	1.8793 	(2.0933333333333333,)	8        	1        	40    	0.251089
13 	35    	2.85361	3.1612	1.6438 	(2.4064,)            	9        	1        	40    	0.280843
14 	32    	2.90639	3.1612	2.15007	(2.150066666666667,) 	11       	1        	40    	0.216661
15 	34    	2.89063	3.1612	2.16317	(2.817833333333333,) 	12       	1        	40    	0.238279
16 	24    	2.91508	3.1612	1.72427	(2.5775,)            	15       	1        	40    	0.286823
17 	31    	2.92059	3.1612	2.1565 	(2.1565,)            	14       	1        	40    	0.224721
